date,time,time_control,white_name,white_rating,white_result,white_bool,black_name,black_rating,black_result,black_bool,eco_code,eco_name,pgn_score,pgn_string,url
2017-05-11,08:38:31,1/259200,1RP2,1417,win,1.0,vitiakoz,1269,resigned,0.0,D06,Queens-Gambit-Declined-Austrian-Variation,"['1.', 'd4', 'c4', 'c5', 'Nf6', '4.', '5.', 'Bd3', 'Ne2', 'Qa5+', 'cxd4', '8.', '9.', 'O-O', 'a3', 'e5', 'Nxe5', '12.', '13.', 'cxd5', 'Bxh7+', 'Kxh7', 'Ng6', '16.', '17.', 'f4', 'f5', 'Ne5', 'f6', '20.', '21.', 'b4', 'Nd4', 'Bd6', '1-0']",1. d4 c4 c5 Nf6 4. 5. Bd3 Ne2 Qa5+ cxd4 8. 9. O-O a3 e5 Nxe5 12. 13. cxd5 Bxh7+ Kxh7 Ng6 16. 17. f4 f5 Ne5 f6 20. 21. b4 Nd4 Bd6 1-0 ,https://www.chess.com/game/daily/165237892
2017-05-24,10:10:43,1/259200,vitiakoz,1274,win,1.0,1RP2,1388,resigned,0.0,C44,Ponziani-Opening-Jaenisch-Breyer-Opening,"['1.', 'e4', 'Nf3', 'Nc6', 'Nf6', '4.', '5.', 'Bg5', 'Bh4', 'g5', 'd6', '8.', '9.', 'Nb3', 'Be2', 'Bxf2+', 'Ng4', '12.', '13.', 'Qd2', 'Kd1', 'Qf6', 'a5', '16.', '17.', 'cxd6', 'axb3', 'cxd6', 'O-O', '20.', '21.', 'Rc4', 'Rc3', 'Nb4+', 'Nc6', '24.', '25.', 'Rxc8', 'Qb4', 'Na7', 'Nc8', '28.', '29.', 'Rxd6', 'Qxb5', 'Ne3', 'f6', '32.']",1. e4 Nf3 Nc6 Nf6 4. 5. Bg5 Bh4 g5 d6 8. 9. Nb3 Be2 Bxf2+ Ng4 12. 13. Qd2 Kd1 Qf6 a5 16. 17. cxd6 axb3 cxd6 O-O 20. 21. Rc4 Rc3 Nb4+ Nc6 24. 25. Rxc8 Qb4 Na7 Nc8 28. 29. Rxd6 Qxb5 Ne3 f6 32. ,https://www.chess.com/game/daily/166235652
2017-05-31,22:34:37,1/259200,1RP2,1401,win,1.0,vitiakoz,1259,checkmated,0.0,B07,Pirc-Defense-2.d4,"['1.', 'd4', 'e4', 'e6', 'Nf6', '4.', '5.', 'O-O', 'c3', 'Bg4', 'd5', '8.', '9.', 'Nc4', 'Qxf3', 'Be7', 'O-O', '12.', '13.', 'Qg4', 'Na3', 'Nxe5', 'Nxd3', '16.', '17.', 'Bd2', 'f4', 'Qb6+', 'Rad8', '20.', '21.', 'b4', 'Bxc3', 'Nxc3', 'Rd5', '24.', '25.', 'Nc2', 'Re7', 'Qf6', 'gxf6', '28.', '29.', 'Ne3', 'h4', 'Rxa2', 'c3', '32.', '33.', 'Ree7', 'Kh2', 'c2', 'Kg8', '36.', '37.', 'Rhf7#']",1. d4 e4 e6 Nf6 4. 5. O-O c3 Bg4 d5 8. 9. Nc4 Qxf3 Be7 O-O 12. 13. Qg4 Na3 Nxe5 Nxd3 16. 17. Bd2 f4 Qb6+ Rad8 20. 21. b4 Bxc3 Nxc3 Rd5 24. 25. Nc2 Re7 Qf6 gxf6 28. 29. Ne3 h4 Rxa2 c3 32. 33. Ree7 Kh2 c2 Kg8 36. 37. Rhf7# ,https://www.chess.com/game/daily/166719754
2017-05-31,22:34:32,1/259200,1RP2,1375,resigned,0.0,vitiakoz,1270,win,1.0,D02,Queens-Pawn-Opening-Zukertort-Variation,"['1.', 'd4', 'Nf3', 'e6', 'Nf6', '4.', '5.', 'Ne5', 'f3', 'Nc6', 'Nxd4', '8.', '9.', 'Qe2', 'Ne5', 'Nd5', 'Qxe7', '12.', '13.', 'Nd2', 'Rb1', 'Qxe5', 'Qxd5', '16.', '17.', 'Be2', 'Qd3', 'Nxg2+', 'Nf4', '20.', '21.', 'Ke1', 'Ne4', 'Nf4', 'b6', '24.', '25.', 'Qc2', 'fxe4', 'Nxe2', 'Qc3+', '28.', '29.', 'Ke1', 'Qd2', 'Qxd2+', 'Rfd8', '32.', '33.', 'Rf4', 'Rhf1', 'Rd1+', 'Rxf1+', '36.', '0-1']",1. d4 Nf3 e6 Nf6 4. 5. Ne5 f3 Nc6 Nxd4 8. 9. Qe2 Ne5 Nd5 Qxe7 12. 13. Nd2 Rb1 Qxe5 Qxd5 16. 17. Be2 Qd3 Nxg2+ Nf4 20. 21. Ke1 Ne4 Nf4 b6 24. 25. Qc2 fxe4 Nxe2 Qc3+ 28. 29. Ke1 Qd2 Qxd2+ Rfd8 32. 33. Rf4 Rhf1 Rd1+ Rxf1+ 36. 0-1 ,https://www.chess.com/game/daily/166719752
2017-06-07,08:27:23,1/259200,vitiakoz,1283,win,1.0,1RP2,1352,resigned,0.0,C42,Petrovs-Defense-Three-Knights-Game,"['1.', 'e4', 'Nc3', 'Nf6', 'd6', '4.', '5.', 'd3', 'Bd2', 'c6', 'b5', '8.', '9.', 'd5', 'Na4', 'cxd5', 'Nxd5', '12.']",1. e4 Nc3 Nf6 d6 4. 5. d3 Bd2 c6 b5 8. 9. d5 Na4 cxd5 Nxd5 12. ,https://www.chess.com/game/daily/167336760
2017-06-08,23:12:05,1/172800,1RP2,1366,win,1.0,vitiakoz,1286,checkmated,0.0,C44,Scotch-Game,"['1.', 'e4', 'Nf3', 'Nc6', 'Qf6', '4.', '5.', 'Nc3', 'Bd3', 'Nxd4', 'h6', '8.', '9.', 'O-O', 'Nd5', 'Qd6', 'Qc5', '12.', '13.', 'cxd4', 'Nd6+', 'cxd6', 'b6', '16.', '17.', 'Nxa8', 'Qa4', 'Bxa8', 'Rh5', '20.', '21.', 'd5', 'Bxd7', 'Nh4', 'Nf3+', '24.', '25.', 'Kxh1', 'Qd7#', '1-0']",1. e4 Nf3 Nc6 Qf6 4. 5. Nc3 Bd3 Nxd4 h6 8. 9. O-O Nd5 Qd6 Qc5 12. 13. cxd4 Nd6+ cxd6 b6 16. 17. Nxa8 Qa4 Bxa8 Rh5 20. 21. d5 Bxd7 Nh4 Nf3+ 24. 25. Kxh1 Qd7# 1-0 ,https://www.chess.com/game/daily/167385808
2017-06-13,13:57:31,1/172800,vitiakoz,1275,checkmated,0.0,1RP2,1379,win,1.0,C50,Giuoco-Piano-Game-Four-Knights-Game,"['1.', 'e4', 'Nf3', 'Nc6', 'Nf6', '4.', '5.', 'd3', 'Bg5', 'd6', 'Bg4', '8.', '9.', 'Nd5', 'Bxf6', 'gxf6', 'Kh7', '12.', '13.', 'h4', 'g5', 'Ne7', 'Kg7', '16.', '17.', 'Qc3', 'Nd5', 'Qd7', 'Qg4+', '20.', '21.', 'Ne3', 'Kg1', 'Qxh4', 'Qxg5', '24.', '25.', 'Qa3', 'Rxa1', 'h4', 'h3', '28.', '29.', 'Rxg2', 'Bb5', 'Nf6', 'Qf1+', '32.', '0-1']",1. e4 Nf3 Nc6 Nf6 4. 5. d3 Bg5 d6 Bg4 8. 9. Nd5 Bxf6 gxf6 Kh7 12. 13. h4 g5 Ne7 Kg7 16. 17. Qc3 Nd5 Qd7 Qg4+ 20. 21. Ne3 Kg1 Qxh4 Qxg5 24. 25. Qa3 Rxa1 h4 h3 28. 29. Rxg2 Bb5 Nf6 Qf1+ 32. 0-1 ,https://www.chess.com/game/daily/167800666
2017-06-15,07:27:07,1/172800,1RP2,1391,win,1.0,vitiakoz,1284,resigned,0.0,D02,Queens-Pawn-Opening-Symmetrical-Variation-3.c4,"['1.', 'd4', 'Nf3', 'Nf6', 'Bg4', '4.', '5.', 'b3', 'h3', 'Bxf3', 'Bb4+', '8.', '9.', 'a3', 'Qxd2', 'dxc4', 'O-O', '12.', '13.', 'd5', 'Nc3', 'Nxc3', 'Qg5', '16.', '17.', 'fxe3', 'b4', 'Rd6', 'f5', '20.', '21.', 'Be2', 'Rf2', 'e5', 'Kh8', '24.', '25.', 'Rc1', 'exf4', 'Na7', 'Nb5', '28.', '29.', 'a4', 'Rxc7', 'Ra8', '1-0']",1. d4 Nf3 Nf6 Bg4 4. 5. b3 h3 Bxf3 Bb4+ 8. 9. a3 Qxd2 dxc4 O-O 12. 13. d5 Nc3 Nxc3 Qg5 16. 17. fxe3 b4 Rd6 f5 20. 21. Be2 Rf2 e5 Kh8 24. 25. Rc1 exf4 Na7 Nb5 28. 29. a4 Rxc7 Ra8 1-0 ,https://www.chess.com/game/daily/167926410
2017-06-17,16:22:38,1/172800,vitiakoz,1272,checkmated,0.0,1RP2,1402,win,1.0,C46,Three-Knights-Opening,"['1.', 'e4', 'Nf3', 'Nc6', 'Be7', '4.', '5.', 'd3', 'Be3', 'O-O', 'd5', '8.', '9.', 'Bxh6', 'Nd5', 'bxc6', 'Bxf6', '12.', '13.', 'O-O-O', 'b3', 'Qd6', 'Rfb8', '16.', '17.', 'Qa4', 'a3', 'Bf8', 'Bxc4', '20.', '21.', 'Kd2', 'Rb1', 'Bh6+', 'Rxb1', '24.', '25.', 'Rg1', 'h3', 'Kh7', 'Qg5', '28.', '29.', 'Qxc6', 'Kf1', 'Qf2#']",1. e4 Nf3 Nc6 Be7 4. 5. d3 Be3 O-O d5 8. 9. Bxh6 Nd5 bxc6 Bxf6 12. 13. O-O-O b3 Qd6 Rfb8 16. 17. Qa4 a3 Bf8 Bxc4 20. 21. Kd2 Rb1 Bh6+ Rxb1 24. 25. Rg1 h3 Kh7 Qg5 28. 29. Qxc6 Kf1 Qf2# ,https://www.chess.com/game/daily/168109060
2017-06-19,16:53:33,1/172800,1RP2,1412,win,1.0,vitiakoz,1261,checkmated,0.0,A50,Indian-Game-Accelerated-Variation,"['1.', 'd4', 'c4', 'b6', 'Bb7', '4.', '5.', 'e4', 'Bd3', 'Bg7', 'O-O', '8.', '9.', 'a3', 'd5', 'Nc7', 'Nd7', '12.', '13.', 'Bb2', 'cxd5', 'Qe7', 'Ne5', '16.', '17.', 'Bxa6', 'Nb5', 'Nc4', 'Kxg7', '20.', '21.', 'f6+', 'Nh5+', 'gxh5', 'Kxf6', '24.', '25.', 'Nxd6', 'Qxe5+', 'Kg8', 'Kh8', '28.', '29.', 'Qf6+', 'Qxg7#', '1-0']",1. d4 c4 b6 Bb7 4. 5. e4 Bd3 Bg7 O-O 8. 9. a3 d5 Nc7 Nd7 12. 13. Bb2 cxd5 Qe7 Ne5 16. 17. Bxa6 Nb5 Nc4 Kxg7 20. 21. f6+ Nh5+ gxh5 Kxf6 24. 25. Nxd6 Qxe5+ Kg8 Kh8 28. 29. Qf6+ Qxg7# 1-0 ,https://www.chess.com/game/daily/168257700
